roe,sustainability_score,category,rating,risk_rating,equity_size_score,price_cash_flow_ratio,dividend_yield_factor,historical_earnings_growth,sales_growth,asset_cash,holdings_n_stock,ongoing_cost,fund_size
22.69,22.44,Switzerland Equity,3,3,328.15,14.8,3.23,6.24,1.25,0.19,20,0.35,1976640000
16.14,20.52,Sweden Equity,2,2,248.09,10.26,1.45,8.97,2.66,0.01,30,0.1,7934210000
14.88,18.91,Sector Equity Consumer Goods & Services,3,3,308.52,14.41,2.59,-10.14,5.86,0.54,34,0.46,119030000
10.04,20.73,Eurozone Large-Cap Equity,4,3,275.97,7.89,2.6,-1.07,0.7,0.7,248,0.2,3890450000
8.75,23.96,Japan Large-Cap Equity,3,2,286.08,8.4,2.75,-3.99,3.52,0.37,320,0.22,2.71E+11
31.07,22.84,Global Large-Cap Blend Equity,5,3,381.38,14.7,1.88,10.91,7.5,0,932,0.4,96660000
28.57,23.23,US Large-Cap Blend Equity,3,2,314.59,13.61,2.46,13.87,6.41,0,288,0.5,200310000
12.18,24.06,UK Large-Cap Equity,3,2,266.54,7.49,4.08,-6.67,1.81,1.01,99,0.07,8125630000
20.01,21.49,Switzerland Equity,2,4,288.11,14.59,3.34,6.82,1.4,1.25,30,0.51,248400000
24.49,24.57,Sector Equity Healthcare,3,2,312.82,13.28,2.65,0.48,3.95,0.76,57,0.46,662310000
19.04,15.86,Sector Equity Technology,2,3,284.72,15.86,1.29,5.47,8.99,0.32,37,0.46,258890000
3.35,25.68,Sector Equity Financial Services,2,4,250.27,1.125,1.4,-5.12,-8.47,0.99,38,0.46,294530000
2.95,26.67,Sector Equity Financial Services,1,5,240.33,0.113,1.86,-4.72,-10.1,0.76,22,0.51,744070000
31.07,22.86,Global Large-Cap Blend Equity,5,3,380.84,14.57,1.92,10.88,7.41,0.34,56,0.51,725170000
13.38,22.6,Sector Equity Technology,2,3,215.9,8.64,1.49,12.64,5.38,-0.01,30,0.51,872680000
13.85,23.59,Germany Small/Mid-Cap Equity,3,3,198.02,11.75,1.27,3.31,3.33,0.05,60,0.51,1529840000
7.9,20.57,Germany Equity,4,3,296.65,6.5,2.92,-8.81,-0.65,0.05,30,0.16,6004200000
10.32,17.83,Sector Equity Communications,2,3,252.8,2.64,4.22,-1.45,-1.49,0.7,22,0.46,478030000
16.8,22.26,Europe Large-Cap Blend Equity,3,2,333.64,10.03,3.48,-3.93,2.13,1.74,50,0.51,156770000
15.5,19.97,Finland Equity,4,2,217.48,9.11,3.19,-5.11,3.42,0.05,25,0.16,323620000
10.42,19.95,Eurozone Large-Cap Equity,3,4,312.2,9.09,2.76,-2.63,2.51,1.12,50,0.16,368370000
25.13,22.78,US Large-Cap Blend Equity,4,3,293.68,13.33,1.91,10.8,7.01,0.38,617,0.14,621760000
12.18,24.06,UK Large-Cap Equity,3,2,266.9,7.47,4.1,-6.68,1.83,0.54,100,0.21,64160000
10.87,19.95,Eurozone Large-Cap Equity,3,4,312.85,9.18,2.71,-2.63,2.51,0,50,0.2,4377120000
9.43,20.34,France Equity,4,3,299.2,9.32,2.21,4.06,0.55,0,40,0.25,3812640000
10.54,19.95,Eurozone Large-Cap Equity,3,4,312.43,9.11,2.75,-2.63,2.51,0.34,50,0.13,5457700000
16.8,22.26,Europe Large-Cap Blend Equity,3,2,333.63,10.03,3.48,-3.93,2.13,0.37,50,0.35,530230000
10.54,19.96,Eurozone Large-Cap Equity,3,4,312.43,9.11,2.75,-2.63,2.51,0.36,50,0.1,4125319999
9.83,22.56,Italy Equity,3,4,237.39,6.06,2.85,-1.58,0.22,0,37,0.35,341760000
10.55,22.79,UK Mid-Cap Equity,3,2,129.25,7.01,2.74,-9.43,2.56,1.13,179,0.4,1060650000
8.78,23.95,Japan Large-Cap Equity,3,2,286.46,8.44,2.74,-4.08,3.55,0.97,319,0.59,1124880000
11.55,28.23,Sector Equity Industrial Materials,1,5,249.32,6.43,4.85,5.86,4.84,0.31,24,0.46,341770000
9.21,21.67,Eurozone Mid-Cap Equity,3,3,195.84,6.46,2.08,1.85,0.94,0.71,99,0.4,332170000
8.69,21.39,Eurozone Mid-Cap Equity,4,2,152.74,7.12,2.72,3.57,1.85,0.85,88,0.4,381090000
31.39,21.88,US Large-Cap Growth Equity,5,4,351.54,16.55,0.89,10.01,11.54,-0.58,103,0.3,5240700000
3.86,25.38,Sector Equity Consumer Goods & Services,1,5,264.41,4.43,0.72,-8.7,2.38,0.17,13,0.46,513860000
7.79,19.15,Sector Equity Financial Services,3,3,245.23,0.731,5.05,4.39,-0.21,0.54,33,0.46,155800000
8.03,18.77,Sector Equity Industrial Materials,4,2,278.77,9.08,3.19,-14.44,1.58,0.24,21,0.46,126620000
12.95,23.51,Sector Equity Industrial Materials,3,4,230.05,7.79,2.28,14.28,4.91,0.23,23,0.46,77850000
21.71,10.43,Sector Equity Communications,3,5,223.67,9.68,2.14,-2.09,4.62,0.31,11,0.46,10210000
19,12.66,Sector Equity Consumer Goods & Services,2,3,256.69,13.77,1.32,-3.4,5.61,0.4,10,0.46,45890000
12.73,23.72,Sector Equity Utilities,3,5,265.2,6.7,4.35,-13.2,-10.06,0.34,28,0.46,419310000
1.73,23.53,Sector Equity Consumer Goods & Services,2,5,203.77,15.13,1.35,-11.09,7.44,0.02,14,0.46,64470000
-4.39,28.86,Sector Equity Energy,4,2,278.15,4.77,8.45,5.92,5.15,0.82,21,0.46,436490000
15.46,19.89,Sector Equity Financial Services,5,3,232.34,2.96,2.49,17.28,-6.13,0.69,30,0.46,45880000
15.88,23.25,Sector Equity Consumer Goods & Services,3,2,301.42,14.84,2.37,2.36,3.06,0.81,28,0.46,286100000
15.71,21.9,Sector Equity Industrial Materials,4,4,241.43,11.55,1.53,7.13,4.62,0.33,98,0.46,446830000
15.49,22.57,Switzerland Small/Mid-Cap Equity,3,4,197.32,13.02,3.31,13.72,3.59,0.41,29,0.45,1173180000
16.28,20.42,Sweden Equity,3,1,230.76,10.08,1.52,9.29,3.31,0.08,71,0.15,857390000
22.64,22.44,Switzerland Equity,3,3,327.87,14.84,3.21,6.24,1.25,0.03,20,0.21,1978340000
6.48,24.86,Norway Equity,3,2,176.43,7.04,5.26,-8.33,6.47,0.02,25,0.27375,1453400000
9.44,20.34,France Equity,4,3,281.72,6.42,3.88,4.07,0.55,0.3,40,0.25,209970000
14.13,21.67,Europe Large-Cap Blend Equity,4,3,272.4,9.12,2.85,-1.92,1.07,0.56,598,0.2,5843860000
9.72,21.85,Europe Mid-Cap Equity,3,3,148.15,8.5,2.46,-0.86,2.55,1.14,198,0.2,422620000
13.13,21.58,Europe Flex-Cap Equity,4,3,190.69,8.01,2.55,2.17,1.32,0.33,201,0.2,314650000
14.7,21.67,Europe Large-Cap Blend Equity,4,2,298.5,9.43,2.94,-2.62,0.86,0.66,199,0.2,72130000
9.08,22.75,Germany Equity,4,4,290.04,5.14,4.07,-13.54,-2.57,0.08,15,0.31,467520000
6.74,21.43,Europe Equity Income,3,4,224.55,4.37,6.47,2.38,-4.14,0.83,30,0.31,344460000
10.11,20.49,Eurozone Large-Cap Equity,4,3,272.61,8.33,2.53,-1.4,0.4,0.33,296,0.2,1731620000
9.35,19.99,Eurozone Large-Cap Equity,2,5,227.66,5.05,6.15,3.51,0.7,0.45,30,0.31,713310000
8.44,25.06,Japan Large-Cap Equity,3,2,256.13,8.11,2.69,-4.35,3.47,0,2170,0.45,868430000
6.1,23.85,Austria Equity,3,3,149.08,5.31,2.19,7.08,4.13,0.96,20,0.32,113290000
9.35,19.99,Eurozone Large-Cap Equity,2,5,227.66,5.05,6.14,3.51,0.7,0.61,30,0.4,714050000
13.03,29.09,China Equity,2,3,402.59,6.97,3.48,10.87,8.66,0.34,50,0.74,592540000
14.02,25.63,Asia ex-Japan Equity,3,3,364.37,8.74,2.83,1.36,6.91,0.4,625,0.74,2345470000
17.26,20.45,Taiwan Large-Cap Equity,3,3,328.48,10.42,5.04,-0.88,3.49,0.49,88,0.74,450650000
20.82,22.77,Global Large-Cap Blend Equity,4,3,291.16,11.59,2.31,4.86,4.38,0.28,1595,0.5,5114990000
14.97,17.83,Eurozone Large-Cap Equity,5,2,305.62,15.44,1.53,4.69,3.77,0.38,57,0.4,84280000
6.39,28.27,Korea Equity,4,4,340.65,5.23,2.15,-15.02,4.55,1.05,108,0.74,531799999
4.53,25.34,Eurozone Large-Cap Equity,1,5,273.92,4.39,4.57,-5.74,-1.84,0.35,47,0.4,29690000
18.62,19.98,Netherlands Equity,4,3,293.57,9.44,2.53,1.47,0.57,0.61,25,0.3,323120000
10.05,23.42,UK Equity Income,1,5,183.16,4.46,6.61,37.29,0.18,1.7,49,0.4,640140000
8.82,30.76,Brazil Equity,3,4,324.43,4.3,3.82,10.01,5.59,0.39,56,0.74,196510000
14.58,27.11,Global Emerging Markets Equity,3,3,343.5,8.14,3.03,2.8,7.42,0.12,1172,0.6075,3049580000
